避難場所_施設名称,地方公共団体コード,都道府県,指定市区町村名,所在地住所,緯度,経度,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
北の丸公園,131016,東京都,千代田区,東京都千代田区北の丸公園１ほか,35.69198,139.750564,0,0,0,1,0,0,0,0,0,0,0,0,
皇居東御苑,131016,東京都,千代田区,東京都千代田区千代田１,35.686863,139.757162,0,0,0,1,0,0,0,0,0,0,0,0,
皇居外苑,131016,東京都,千代田区,東京都千代田区皇居外苑１ほか,35.680258,139.757693,0,0,0,1,0,0,0,0,0,0,0,0,
日比谷公園,131016,東京都,千代田区,東京都千代田区日比谷公園１,35.673576,139.755893,0,0,0,1,0,0,0,0,0,0,0,0,
真田堀運動場,131016,東京都,千代田区,東京都千代田区紀尾井町５ほか,35.68278,139.731059,0,0,0,1,0,0,0,0,0,0,0,0,
外濠公園,131016,東京都,千代田区,東京都千代田区五番町先,35.68864,139.73097,0,0,0,1,0,0,0,0,0,0,0,0,
京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676558,139.771358,1,0,1,1,0,0,1,0,1,1,0,1,自動ドア
京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673233,139.771678,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672333,139.761326,1,0,1,1,0,0,1,0,0,0,0,0,
銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665698,139.765034,1,0,1,1,0,0,1,0,0,1,0,1,
中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672201,139.778753,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668438,139.776409,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.667959,139.771414,1,0,1,1,0,0,1,0,0,1,0,1,
京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674903,139.775664,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
